0,"JoinHash","Semi",623,469,17,2,1631.6,1631.6,1631,-1,469,17,1631.6,437724,"partsupp","ps_supplycost","REFERENCE","","","",1,"No","","be53f6efc0018b31",2,1
1,"JoinHash","Inner",623,845,13,4,407.9,1631.6,407,407,623,17,1631.6,290419,"partsupp","ps_partkey","REFERENCE","part","p_partkey","REFERENCE",0,"No","No","be53f6efc0018b31",4,1
2,"JoinHash","Inner",623,1955,3,10,2000,1631.6,2000,1631,623,13,1631.6,272398,"partsupp","ps_suppkey","REFERENCE","supplier","s_suppkey","REFERENCE",0,"No","No","be53f6efc0018b31",1,2
3,"JoinHash","Inner",1955,5,7,3,2000,5,5,5,1955,10,2000,178526,"supplier","s_nationkey","REFERENCE","nation","n_nationkey","REFERENCE",1,"No","No","be53f6efc0018b31",1,1
4,"JoinHash","Semi",3380,1955,3,7,2000,1631.6,2000,1631,623,3,1631.6,365154,"partsupp","ps_suppkey","REFERENCE","supplier","s_suppkey","REFERENCE",1,"No","No","be53f6efc0018b31",1,6
5,"JoinHash","Semi",3380,1955,3,10,2000,1631.6,2000,1631,623,3,1631.6,769491,"partsupp","ps_suppkey","REFERENCE","supplier","s_suppkey","REFERENCE",1,"No","No","be53f6efc0018b31",1,6
6,"JoinHash","Semi",800000,845,3,4,407.9,800000,407,200000,3380,3,1631.6,3357975,"partsupp","ps_partkey","REFERENCE","part","p_partkey","REFERENCE",1,"No","No","be53f6efc0018b31",4,13
7,"JoinHash","Semi",10000,5,7,3,10000,5,25,5,1955,7,2000,164627,"supplier","s_nationkey","REFERENCE","nation","n_nationkey","REFERENCE",1,"No","No","be53f6efc0018b31",1,1
8,"JoinHash","Semi",10000,5,7,3,10000,5,25,5,1955,7,2000,172450,"supplier","s_nationkey","DATA","nation","n_nationkey","REFERENCE",1,"No","No","be53f6efc0018b31",1,1
9,"JoinHash","Semi",25,1,3,2,25,1,5,1,5,3,5,87727,"nation","n_regionkey","DATA","region","r_regionkey","REFERENCE",1,"No","No","be53f6efc0018b31",1,1
