ps_partkey|ps_suppkey|ps_availqty|ps_supplycost|ps_comment
int|int|int|float|string
1|2|3325|771.64|, even theodolites. regular, final theodolites eat after the carefully pending foxes. furiously regular deposits sleep slyly. carefully bold realms above the ironic dependencies haggle careful|
1|7|8076|993.49|ven ideas. quickly even packages print. pending multipliers must have to are fluff|
1|12|3956|337.09|after the fluffily ironic deposits? blithely special dependencies integrate furiously even excuses. blithely silent theodolites could have to haggle pending, express requests; fu|
1|17|4069|357.84|al, regular dependencies serve carefully after the quickly final pinto beans. furiously even deposits sleep quickly final, silent pinto beans. fluffily reg|
2|3|8895|378.49|nic accounts. final accounts sleep furiously about the ironic, bold packages. regular, regular accounts|
2|8|4969|915.27|ptotes. quickly pending dependencies integrate furiously. fluffily ironic ideas impress blithely above the express accounts. furiously even epitaphs need to wak|
2|13|8539|438.37|blithely bold ideas. furiously stealthy packages sleep fluffily. slyly special deposits snooze furiously carefully regular accounts. regular deposits according to the accounts nag carefully slyl|
2|18|3025|306.39|olites. deposits wake carefully. even, express requests cajole. carefully regular ex|
3|4|4651|920.92|ilent foxes affix furiously quickly unusual requests. even packages across the carefully even theodolites nag above the sp|
3|9|4093|498.13|ending dependencies haggle fluffily. regular deposits boost quickly carefully regular requests. deposits affix furiously around the pinto beans. ironic, unusual platelets across the p|
3|14|3917|645.40|of the blithely regular theodolites. final theodolites haggle blithely carefully unusual ideas. blithely even f|
3|19|9942|191.92| unusual, ironic foxes according to the ideas detect furiously alongside of the even, express requests. blithely regular the|
4|5|1339|113.97| carefully unusual ideas. packages use slyly. blithely final pinto beans cajole along the furiously express requests. regular orbits haggle carefully. care|
4|10|6377|591.18|ly final courts haggle carefully regular accounts. carefully regular accounts could integrate slyly. slyly express packages about the accounts wake slyly|
4|15|2694|51.37|g, regular deposits: quick instructions run across the carefully ironic theodolites-- final dependencies haggle into the dependencies. f|
4|20|2480|444.37|requests sleep quickly regular accounts. theodolites detect. carefully final depths w|
5|6|3735|255.88|arefully even requests. ironic requests cajole carefully even dolphin|
5|11|9653|50.52|y stealthy deposits. furiously final pinto beans wake furiou|
5|16|1329|219.83|iously regular deposits wake deposits. pending pinto beans promise ironic dependencies. even, regular pinto beans integrate|
5|1|6925|537.98|sits. quickly fluffy packages wake quickly beyond the blithely regular requests. pending requests cajole among the final pinto beans. carefully busy theodolites affix quickly stealthily |
6|7|8851|130.72|usly final packages. slyly ironic accounts poach across the even, sly requests. carefully pending request|
6|12|1627|424.25| quick packages. ironic deposits print. furiously silent platelets across the carefully final requests are slyly along the furiously even instructi|
6|17|3336|642.13|final instructions. courts wake packages. blithely unusual realms along the multipliers nag |
6|2|6451|175.32| accounts alongside of the slyly even accounts wake carefully final instructions-- ruthless platelets wake carefully ideas. even deposits are quickly final,|
7|8|7454|763.98|y express tithes haggle furiously even foxes. furiously ironic deposits sleep toward the furiously unusual|
7|13|2770|149.66|hould have to nag after the blithely final asymptotes. fluffily spe|
7|18|3377|68.77|usly against the daring asymptotes. slyly regular platelets sleep quickly blithely regular deposits. boldly regular deposits wake blithely ironic accounts|
7|3|9460|299.58|. furiously final ideas hinder slyly among the ironic, final packages. blithely ironic dependencies cajole pending requests: blithely even packa|
8|9|6834|249.63|lly ironic accounts solve express, unusual theodolites. special packages use quickly. quickly fin|
8|14|396|957.34|r accounts. furiously pending dolphins use even, regular platelets. final|
8|19|9845|220.62|s against the fluffily special packages snooze slyly slyly regular p|
8|4|8126|916.91|final accounts around the blithely special asymptotes wake carefully beyond the bold dugouts. regular ideas haggle furiously after|
9|10|7054|84.20|ts boost. evenly regular packages haggle after the quickly careful accounts. |
9|15|7542|811.84|ate after the final pinto beans. express requests cajole express packages. carefully bold ideas haggle furiously. blithely express accounts eat carefully among the evenly busy accounts. carefully un|
9|20|9583|381.31|d foxes. final, even braids sleep slyly slyly regular ideas. unusual ideas above|
9|5|3063|291.84| the blithely ironic instructions. blithely express theodolites nag furiously. carefully bold requests shall have to use slyly pending requests. carefully regular instr|
10|11|2952|996.12| bold foxes wake quickly even, final asymptotes. blithely even depe|
10|16|3335|673.27|s theodolites haggle according to the fluffily unusual instructions. silent realms nag carefully ironic theodolites. furiously unusual instructions would detect fu|
10|1|5691|164.00|r, silent instructions sleep slyly regular pinto beans. furiously unusual gifts use. silently ironic theodolites cajole final deposits! express dugouts are furiously. packages sleep |
10|6|841|374.02|refully above the ironic packages. quickly regular packages haggle foxes. blithely ironic deposits a|
11|12|4540|709.87|thely across the blithely unusual requests. slyly regular instructions wake slyly ironic theodolites. requests haggle blithely above the blithely brave p|
11|17|4729|894.90|ters wake. sometimes bold packages cajole sometimes blithely final instructions. carefully ironic foxes after the furiously unusual foxes cajole carefully acr|
11|2|3708|818.74|inal accounts nag quickly slyly special frays; bold, final theodolites play slyly after the furiously pending packages. f|
11|7|3213|471.98|nusual, regular requests use carefully. slyly final packages haggle quickly. slyly express packages impress blithely across the blithely regular ideas. regular depe|
12|13|3610|659.73|jole bold theodolites. final packages haggle! carefully regular deposits play furiously among the special ideas. quickly ironic packages detect quickly carefully final|
12|18|7606|332.81|luffily regular courts engage carefully special realms. regular accounts across the blithely special pinto beans use carefully at the silent request|
12|3|824|337.06|es are unusual deposits. fluffily even deposits across the blithely final theodolites doubt across the unusual accounts. regular, |
12|8|5454|901.70|s across the carefully regular courts haggle fluffily among the even theodolites. blithely final platelets x-ray even ideas. fluffily express pinto beans sleep slyly. carefully even a|
13|14|612|169.44|s. furiously even asymptotes use slyly blithely express foxes. pending courts integrate blithely among the ironic requests! blithely pending deposits integrate slyly furiously final packa|
13|19|7268|862.70|s sleep slyly packages. final theodolites to the express packages haggle quic|
13|4|864|38.64|s after the slyly pending instructions haggle even, express requests. permanently regular pinto beans are. slyly pending req|
13|9|9736|327.18|tect after the express instructions. furiously silent ideas sleep blithely special ideas. attainments sleep furiously. carefully bold requests ab|
14|15|5278|650.07|e quickly among the furiously ironic accounts. special, final sheaves against the|
14|20|5334|889.50|ss dependencies are furiously silent excuses. blithely ironic pinto beans affix quickly according to the slyly ironic asymptotes. final packag|
14|5|3676|893.39|sits are according to the fluffily silent asymptotes. final ideas are slyly above the regular instructions. furiousl|
14|10|4947|310.13| final deposits boost slyly regular packages; carefully pending theodolites |
15|16|7047|835.70|blithely quick requests sleep carefully fluffily regular pinto beans. ironic pinto beans around the slyly regular foxe|
15|1|3336|784.55|slyly. fluffily bold accounts cajole furiously. furiously regular dependencies wak|
15|6|3316|265.89|e express instructions. ironic requests haggle fluffily along the carefully even packages. furiously final acco|
15|11|5255|458.67|refully bold instructions among the silent grouches must boost against the express deposits:|
16|17|5282|709.16|lithely ironic theodolites should have to are furiously-- |
16|2|9412|887.53|ly special accounts wake. fluffily bold ideas believe blith|
16|7|854|781.91| unusual excuses. requests after the carefully regular pinto |
16|12|1491|918.51|unts cajole furiously across the fluffily pending instructions. slyly special accounts could have to boost b|
17|18|8555|995.35|are furiously final accounts. carefully unusual accounts snooze across the requests. carefully special dolphins|
17|3|7737|648.75|e blithely express accounts. foxes kindle slyly unusual dinos. quickly special f|
